3,42243,112413,122383,win,1,0:44,TKO
2,42243,40285,26389,win,3,5:00,Decision
1,42243,47845,21673,win,3,0:27,KO
1,47669,62703,68959,win,2,4:13,Submission
12,47669,69083,99019,win,5,2:25,Submission
11,47669,46224,14463,win,2,2:57,Submission
10,47669,130911,48481,win,2,0:41,Submission
9,47669,90021,81765,win,3,5:00,Decision
8,47669,11281,11798,win,2,0:21,KO
7,47669,21343,83462,win,3,2:18,TKO
6,47669,24121,143157,NC,1,0:11,NC
5,47669,66313,426,win,2,4:18,Submission
4,47669,64593,57322,win,1,4:25,TKO
3,47669,64677,25412,win,1,2:46,Technical
2,47669,63813,7415,win,3,5:00,Decision
10,47439,14204,38393,win,1,2:28,KO
9,47439,15962,73700,win,3,5:00,Decision
8,47439,31239,46259,win,2,2:54,Submission
7,47439,22038,4923,win,3,5:00,Decision
6,47439,1326,44957,win,3,5:00,Decision
5,47439,71442,85623,win,3,5:00,Decision
4,47439,7306,98151,win,3,5:00,Decision
3,47439,34409,25415,win,3,5:00,Decision
2,47439,79290,50239,win,2,4:28,TKO
1,47439,36924,11729,win,3,5:00,Decision
13,42249,11675,15105,win,1,1:06,TKO
12,42249,461,17272,win,2,4:43,TKO
11,42249,11451,68788,win,3,5:00,Decision
10,42249,101401,75417,win,3,5:00,Decision
9,42249,30300,34236,win,1,3:05,Submission
8,42249,1712,22350,win,2,0:28,KO
7,42249,45384,16524,win,3,5:00,Decision
6,42249,16470,17460,win,3,4:10,Submission
5,42249,15058,26070,win,3,5:00,Decision
4,42249,13133,36581,NC,2,1:34,NC
3,42249,120691,62665,win,3,5:00,Decision
2,42249,66474,46033,win,1,2:13,Technical
1,42249,152341,6608,win,2,2:53,KO
12,47465,2245,6765,win,5,5:00,Decision
11,47465,39537,270,win,1,0:54,TKO
10,47465,60198,51345,win,3,5:00,Decision
9,47465,65310,25097,win,3,1:37,Submission
8,47465,17129,30021,win,1,3:18,Submission
7,47465,30297,13767,win,2,2:09,Submission
6,47465,64894,7632,win,3,5:00,Decision
5,47465,67098,69632,win,3,5:00,Decision
4,47465,23982,78210,win,3,5:00,Decision
3,47465,50529,17052,win,3,5:00,Decision
2,47465,71942,17004,win,3,5:00,Decision
1,47465,23648,23108,win,1,3:12,TKO
13,47783,12107,62507,win,5,5:00,Decision
12,47783,9265,26627,win,3,5:00,Decision
11,47783,16785,49519,win,3,4:09,TKO
10,47783,31103,11884,win,3,5:00,Decision
9,47783,6612,10339,win,2,1:14,TKO
8,47783,6561,19544,win,2,1:39,KO
7,47783,79335,41993,win,1,4:30,Submission
6,47783,74975,36618,win,1,3:38,Submission
5,47783,68205,53717,win,3,3:56,Submission
4,47783,40207,33156,win,1,0:30,TKO
3,47783,71116,86246,win,3,5:00,Decision
2,47783,76100,64975,win,2,4:13,TKO
1,47783,14702,28038,win,3,5:00,Decision
13,47933,17662,22858,win,1,1:26,KO
12,47933,2262,272,win,2,3:48,Submission
11,47933,40954,16129,win,3,5:00,Decision
10,47933,51471,130911,win,2,3:06,Submission
9,47933,21912,13068,win,3,5:00,Decision
8,47933,26358,86241,win,3,5:00,Decision
7,47933,13968,24121,win,3,3:37,TKO
6,47933,23401,58097,win,3,5:00,Decision
5,47933,10846,15148,win,1,3:59,KO
4,47933,41586,40356,win,3,5:00,Decision
3,47933,115641,53933,win,3,5:00,Decision
2,47933,113767,126881,draw,3,5:00,Draw
1,47933,80436,28181,win,3,3:02,Technical
12,47929,59608,24539,win,1,3:31,TKO
11,47929,10249,76763,win,3,5:00,Decision
10,47929,38842,16161,win,3,5:00,Decision
9,47929,15008,20522,win,3,5:00,Decision
8,47929,59197,121077,win,2,1:28,Submission
7,47929,4577,60908,win,3,4:25,TKO
6,47929,10003,6727,win,3,5:00,Decision
5,47929,59284,30320,win,1,2:17,TKO
4,47929,71120,84752,win,3,5:00,Decision
3,47929,81835,35732,win,2,0:23,KO
2,47929,160145,63272,win,1,0:45,Submission
1,47929,55954,73700,win,3,5:00,Decision
13,47935,15105,110143,win,1,2:33,Submission
12,47935,68494,2886,win,1,2:38,KO
11,47935,50381,160663,win,1,4:18,KO
10,47935,58065,1326,win,3,5:00,Decision
9,47935,17224,2765,win,1,0:26,TKO
8,47935,31766,34625,win,3,5:00,Decision
7,47935,30452,54124,win,3,4:25,TKO
6,47935,103153,17665,win,1,1:00,KO
5,47935,29470,14971,win,3,5:00,Decision
4,47935,25412,81634,win,3,5:00,Decision
3,47935,75021,61266,win,3,5:00,Decision
2,47935,66725,117453,win,3,4:55,TKO
1,47935,26808,58947,win,3,5:00,Decision
